Date,Open,High,Low,Close,Adj Close,Volume
1971-03-09,16.658701,16.766253,16.634798,16.682600,4.088044,790776
1971-03-10,16.682600,16.742352,16.670650,16.670650,4.085118,399572
1971-03-11,16.670650,16.706501,16.563099,16.622849,4.073401,801236
1971-03-12,16.622849,16.921606,16.610899,16.921606,4.146612,681992
1971-03-15,16.921606,17.435469,16.873804,17.375717,4.257891,700820
1971-03-16,17.363768,17.363768,17.220364,17.327915,4.246178,910020
1971-03-17,17.327915,17.399618,17.160612,17.375717,4.257891,610864
1971-03-18,17.375717,17.483271,17.232313,17.256214,4.228608,508356
1971-03-19,17.256214,17.315966,17.112810,17.238289,4.224216,744752
1971-03-22,17.238289,17.292065,17.136711,17.136711,4.199323,531368
1971-03-23,17.136711,17.184511,16.981358,17.005259,4.167112,594128
1971-03-24,17.005259,17.065010,16.921606,16.969406,4.158323,483252
1971-03-25,16.969406,17.029160,16.778202,17.017208,4.170039,529276
1971-03-26,17.029160,17.160612,17.029160,17.112810,4.193468,387020
1971-03-29,17.112810,17.208412,17.041109,17.041109,4.175898,328444
1971-03-30,17.041109,17.124762,17.029160,17.065010,4.181751,286604
1971-03-31,17.065010,17.196463,17.017208,17.088909,4.187612,305432
1971-04-01,17.088909,17.112810,16.933556,17.017208,4.170039,326352
1971-04-02,17.017208,17.160612,16.981358,17.112810,4.193468,286604
1971-04-05,17.112810,17.244265,17.041109,17.244265,4.225682,441412
1971-04-06,17.244265,17.339867,17.160612,17.262190,4.230073,843076
1971-04-07,17.262190,17.399618,17.208412,17.256214,4.228608,673624
1971-04-08,17.256214,17.304014,17.017208,17.053059,4.178826,813788
1971-04-12,17.053059,17.232313,17.041109,17.065010,4.181751,504172
1971-04-13,17.065010,17.268164,17.065010,17.112810,4.193468,853536
1971-04-14,17.112810,17.172562,17.041109,17.148663,4.202255,525092
1971-04-15,17.148663,17.148663,17.029160,17.029160,4.172968,907928
1971-04-16,16.909657,16.909657,16.826004,16.826004,4.123187,5004064
1971-04-19,16.873804,16.981358,16.873804,16.921606,4.146612,424676
1971-04-20,16.921606,17.017208,16.921606,17.017208,4.170039,646428
1971-04-21,17.005259,17.005259,16.837954,16.873804,4.134900,581576
1971-04-22,16.849903,16.849903,16.682600,16.826004,4.123187,1163152
1971-04-23,16.826004,17.053059,16.790154,16.969406,4.158323,654796
1971-04-26,16.969406,17.112810,16.945507,17.017208,4.170039,562748
1971-04-27,17.017208,17.136711,16.993307,17.112810,4.193468,395388
1971-04-28,17.148663,17.268164,17.148663,17.268164,4.231537,552288
1971-04-29,17.268164,17.304014,17.256214,17.304014,4.240321,782408
1971-04-30,17.268164,17.268164,17.041109,17.100861,4.190541,399572
1971-05-03,16.969406,16.969406,16.742352,16.885756,4.137827,658980
1971-05-04,16.885756,16.993307,16.861855,16.897705,4.140758,359824
1971-05-05,16.873804,16.873804,16.682600,16.873804,4.134900,767764
1971-05-06,16.873804,16.957457,16.814054,16.814054,4.120256,533460
